task_id,project_id,title,owner,due_date,status
P01-T01,P01,Cedar Workflow Rollout: delivery item 01,Demo Workstream Owner 01,2026-09-28,in_progress
P01-T02,P01,Cedar Workflow Rollout: delivery item 02,Demo Workstream Owner 01,2026-09-28,in_progress
P01-T03,P01,Cedar Workflow Rollout: delivery item 03,Demo Workstream Owner 01,2026-09-28,in_progress
P01-T04,P01,Cedar Workflow Rollout: delivery item 04,Demo Workstream Owner 01,2026-09-28,in_progress
P01-T05,P01,Cedar Workflow Rollout: delivery item 05,Demo Workstream Owner 01,2026-09-28,in_progress
P01-T06,P01,Cedar Workflow Rollout: delivery item 06,Demo Workstream Owner 01,2026-09-28,in_progress
P01-T07,P01,Cedar Workflow Rollout: delivery item 07,Demo Workstream Owner 01,2026-09-28,done
P01-T08,P01,Cedar Workflow Rollout: delivery item 08,Demo Workstream Owner 01,2026-09-28,done
P01-T09,P01,Cedar Workflow Rollout: delivery item 09,Demo Workstream Owner 01,2026-09-28,done
P01-T10,P01,Cedar Workflow Rollout: delivery item 10,Demo Workstream Owner 01,2026-09-28,done
P01-T11,P01,Cedar Workflow Rollout: delivery item 11,Demo Workstream Owner 01,2026-09-28,done
P01-T12,P01,Cedar Workflow Rollout: delivery item 12,Demo Workstream Owner 01,2026-09-28,done
P02-T01,P02,Harbor Onboarding: delivery item 01,Demo Workstream Owner 02,2026-09-18,in_progress
P02-T02,P02,Harbor Onboarding: delivery item 02,Demo Workstream Owner 02,2026-09-18,in_progress
P02-T03,P02,Harbor Onboarding: delivery item 03,Demo Workstream Owner 02,2026-09-18,in_progress
P02-T04,P02,Harbor Onboarding: delivery item 04,Demo Workstream Owner 02,2026-09-18,in_progress
P02-T05,P02,Harbor Onboarding: delivery item 05,Demo Workstream Owner 02,2026-09-28,in_progress
P02-T06,P02,Harbor Onboarding: delivery item 06,Demo Workstream Owner 02,2026-09-28,in_progress
P02-T07,P02,Harbor Onboarding: delivery item 07,Demo Workstream Owner 02,2026-09-28,done
P02-T08,P02,Harbor Onboarding: delivery item 08,Demo Workstream Owner 02,2026-09-28,done
P02-T09,P02,Harbor Onboarding: delivery item 09,Demo Workstream Owner 02,2026-09-28,done
P02-T10,P02,Harbor Onboarding: delivery item 10,Demo Workstream Owner 02,2026-09-28,done
P02-T11,P02,Harbor Onboarding: delivery item 11,Demo Workstream Owner 02,2026-09-28,done
P02-T12,P02,Harbor Onboarding: delivery item 12,Demo Workstream Owner 02,2026-09-28,done
P03-T01,P03,Summit Data Migration: delivery item 01,Demo Workstream Owner 03,2026-09-18,in_progress
P03-T02,P03,Summit Data Migration: delivery item 02,Demo Workstream Owner 03,2026-09-18,in_progress
P03-T03,P03,Summit Data Migration: delivery item 03,Demo Workstream Owner 03,2026-09-18,in_progress
P03-T04,P03,Summit Data Migration: delivery item 04,Demo Workstream Owner 03,2026-09-18,in_progress
P03-T05,P03,Summit Data Migration: delivery item 05,Demo Workstream Owner 03,2026-09-18,in_progress
P03-T06,P03,Summit Data Migration: delivery item 06,Demo Workstream Owner 03,2026-09-18,in_progress
P03-T07,P03,Summit Data Migration: delivery item 07,Demo Workstream Owner 03,2026-09-18,in_progress
P03-T08,P03,Summit Data Migration: delivery item 08,Demo Workstream Owner 03,2026-09-18,in_progress
P03-T09,P03,Summit Data Migration: delivery item 09,Demo Workstream Owner 03,2026-09-18,in_progress
P03-T10,P03,Summit Data Migration: delivery item 10,Demo Workstream Owner 03,2026-09-28,done
P03-T11,P03,Summit Data Migration: delivery item 11,Demo Workstream Owner 03,2026-09-28,done
P03-T12,P03,Summit Data Migration: delivery item 12,Demo Workstream Owner 03,2026-09-28,done
P04-T01,P04,Orion Integration: delivery item 01,Demo Workstream Owner 04,2026-09-18,in_progress
P04-T02,P04,Orion Integration: delivery item 02,Demo Workstream Owner 04,2026-09-18,in_progress
P04-T03,P04,Orion Integration: delivery item 03,Demo Workstream Owner 04,2026-09-28,in_progress
P04-T04,P04,Orion Integration: delivery item 04,Demo Workstream Owner 04,2026-09-28,in_progress
P04-T05,P04,Orion Integration: delivery item 05,Demo Workstream Owner 04,2026-09-28,in_progress
P04-T06,P04,Orion Integration: delivery item 06,Demo Workstream Owner 04,2026-09-28,in_progress
P04-T07,P04,Orion Integration: delivery item 07,Demo Workstream Owner 04,2026-09-28,done
P04-T08,P04,Orion Integration: delivery item 08,Demo Workstream Owner 04,2026-09-28,done
P04-T09,P04,Orion Integration: delivery item 09,Demo Workstream Owner 04,2026-09-28,done
P04-T10,P04,Orion Integration: delivery item 10,Demo Workstream Owner 04,2026-09-28,done
P04-T11,P04,Orion Integration: delivery item 11,Demo Workstream Owner 04,2026-09-28,done
P04-T12,P04,Orion Integration: delivery item 12,Demo Workstream Owner 04,2026-09-28,done
P05-T01,P05,Meadow Service Expansion: delivery item 01,Demo Workstream Owner 05,2026-09-18,in_progress
P05-T02,P05,Meadow Service Expansion: delivery item 02,Demo Workstream Owner 05,2026-09-28,in_progress
P05-T03,P05,Meadow Service Expansion: delivery item 03,Demo Workstream Owner 05,2026-09-28,in_progress
P05-T04,P05,Meadow Service Expansion: delivery item 04,Demo Workstream Owner 05,2026-09-28,in_progress
P05-T05,P05,Meadow Service Expansion: delivery item 05,Demo Workstream Owner 05,2026-09-28,in_progress
P05-T06,P05,Meadow Service Expansion: delivery item 06,Demo Workstream Owner 05,2026-09-28,in_progress
P05-T07,P05,Meadow Service Expansion: delivery item 07,Demo Workstream Owner 05,2026-09-28,done
P05-T08,P05,Meadow Service Expansion: delivery item 08,Demo Workstream Owner 05,2026-09-28,done
P05-T09,P05,Meadow Service Expansion: delivery item 09,Demo Workstream Owner 05,2026-09-28,done
P05-T10,P05,Meadow Service Expansion: delivery item 10,Demo Workstream Owner 05,2026-09-28,done
P05-T11,P05,Meadow Service Expansion: delivery item 11,Demo Workstream Owner 05,2026-09-28,done
P05-T12,P05,Meadow Service Expansion: delivery item 12,Demo Workstream Owner 05,2026-09-28,done
P06-T01,P06,Atlas Access Review: delivery item 01,Demo Workstream Owner 06,2026-09-28,in_progress
P06-T02,P06,Atlas Access Review: delivery item 02,Demo Workstream Owner 06,2026-09-28,in_progress
P06-T03,P06,Atlas Access Review: delivery item 03,Demo Workstream Owner 06,2026-09-28,in_progress
P06-T04,P06,Atlas Access Review: delivery item 04,Demo Workstream Owner 06,2026-09-28,in_progress
P06-T05,P06,Atlas Access Review: delivery item 05,Demo Workstream Owner 06,2026-09-28,in_progress
P06-T06,P06,Atlas Access Review: delivery item 06,Demo Workstream Owner 06,2026-09-28,in_progress
P06-T07,P06,Atlas Access Review: delivery item 07,Demo Workstream Owner 06,2026-09-28,done
P06-T08,P06,Atlas Access Review: delivery item 08,Demo Workstream Owner 06,2026-09-28,done
P06-T09,P06,Atlas Access Review: delivery item 09,Demo Workstream Owner 06,2026-09-28,done
P06-T10,P06,Atlas Access Review: delivery item 10,Demo Workstream Owner 06,2026-09-28,done
P06-T11,P06,Atlas Access Review: delivery item 11,Demo Workstream Owner 06,2026-09-28,done
P06-T12,P06,Atlas Access Review: delivery item 12,Demo Workstream Owner 06,2026-09-28,done
P07-T01,P07,River Recovery: delivery item 01,Demo Workstream Owner 07,2026-09-18,in_progress
P07-T02,P07,River Recovery: delivery item 02,Demo Workstream Owner 07,2026-09-28,in_progress
P07-T03,P07,River Recovery: delivery item 03,Demo Workstream Owner 07,2026-09-28,in_progress
P07-T04,P07,River Recovery: delivery item 04,Demo Workstream Owner 07,2026-09-28,in_progress
P07-T05,P07,River Recovery: delivery item 05,Demo Workstream Owner 07,2026-09-28,in_progress
P07-T06,P07,River Recovery: delivery item 06,Demo Workstream Owner 07,2026-09-28,in_progress
P07-T07,P07,River Recovery: delivery item 07,Demo Workstream Owner 07,2026-09-28,done
P07-T08,P07,River Recovery: delivery item 08,Demo Workstream Owner 07,2026-09-28,done
P07-T09,P07,River Recovery: delivery item 09,Demo Workstream Owner 07,2026-09-28,done
P07-T10,P07,River Recovery: delivery item 10,Demo Workstream Owner 07,2026-09-28,done
P07-T11,P07,River Recovery: delivery item 11,Demo Workstream Owner 07,2026-09-28,done
P07-T12,P07,River Recovery: delivery item 12,Demo Workstream Owner 07,2026-09-28,done
P08-T01,P08,Beacon Platform Refresh: delivery item 01,Demo Workstream Owner 08,2026-09-18,in_progress
P08-T02,P08,Beacon Platform Refresh: delivery item 02,Demo Workstream Owner 08,2026-09-18,in_progress
P08-T03,P08,Beacon Platform Refresh: delivery item 03,Demo Workstream Owner 08,2026-09-18,in_progress
P08-T04,P08,Beacon Platform Refresh: delivery item 04,Demo Workstream Owner 08,2026-09-18,in_progress
P08-T05,P08,Beacon Platform Refresh: delivery item 05,Demo Workstream Owner 08,2026-09-18,in_progress
P08-T06,P08,Beacon Platform Refresh: delivery item 06,Demo Workstream Owner 08,2026-09-18,in_progress
P08-T07,P08,Beacon Platform Refresh: delivery item 07,Demo Workstream Owner 08,2026-09-18,in_progress
P08-T08,P08,Beacon Platform Refresh: delivery item 08,Demo Workstream Owner 08,2026-09-18,in_progress
P08-T09,P08,Beacon Platform Refresh: delivery item 09,Demo Workstream Owner 08,2026-09-28,done
P08-T10,P08,Beacon Platform Refresh: delivery item 10,Demo Workstream Owner 08,2026-09-28,done
P08-T11,P08,Beacon Platform Refresh: delivery item 11,Demo Workstream Owner 08,2026-09-28,done
P08-T12,P08,Beacon Platform Refresh: delivery item 12,Demo Workstream Owner 08,2026-09-28,done
P09-T01,P09,Willow Knowledge Base: delivery item 01,Demo Workstream Owner 09,2026-09-28,in_progress
P09-T02,P09,Willow Knowledge Base: delivery item 02,Demo Workstream Owner 09,2026-09-28,in_progress
P09-T03,P09,Willow Knowledge Base: delivery item 03,Demo Workstream Owner 09,2026-09-28,in_progress
P09-T04,P09,Willow Knowledge Base: delivery item 04,Demo Workstream Owner 09,2026-09-28,in_progress
P09-T05,P09,Willow Knowledge Base: delivery item 05,Demo Workstream Owner 09,2026-09-28,in_progress
P09-T06,P09,Willow Knowledge Base: delivery item 06,Demo Workstream Owner 09,2026-09-28,in_progress
P09-T07,P09,Willow Knowledge Base: delivery item 07,Demo Workstream Owner 09,2026-09-28,done
P09-T08,P09,Willow Knowledge Base: delivery item 08,Demo Workstream Owner 09,2026-09-28,done
P09-T09,P09,Willow Knowledge Base: delivery item 09,Demo Workstream Owner 09,2026-09-28,done
P09-T10,P09,Willow Knowledge Base: delivery item 10,Demo Workstream Owner 09,2026-09-28,done
P09-T11,P09,Willow Knowledge Base: delivery item 11,Demo Workstream Owner 09,2026-09-28,done
P09-T12,P09,Willow Knowledge Base: delivery item 12,Demo Workstream Owner 09,2026-09-28,done
P10-T01,P10,Juniper Reporting: delivery item 01,Demo Workstream Owner 10,2026-09-18,in_progress
P10-T02,P10,Juniper Reporting: delivery item 02,Demo Workstream Owner 10,2026-09-18,in_progress
P10-T03,P10,Juniper Reporting: delivery item 03,Demo Workstream Owner 10,2026-09-18,in_progress
P10-T04,P10,Juniper Reporting: delivery item 04,Demo Workstream Owner 10,2026-09-28,in_progress
P10-T05,P10,Juniper Reporting: delivery item 05,Demo Workstream Owner 10,2026-09-28,in_progress
P10-T06,P10,Juniper Reporting: delivery item 06,Demo Workstream Owner 10,2026-09-28,in_progress
P10-T07,P10,Juniper Reporting: delivery item 07,Demo Workstream Owner 10,2026-09-28,done
P10-T08,P10,Juniper Reporting: delivery item 08,Demo Workstream Owner 10,2026-09-28,done
P10-T09,P10,Juniper Reporting: delivery item 09,Demo Workstream Owner 10,2026-09-28,done
P10-T10,P10,Juniper Reporting: delivery item 10,Demo Workstream Owner 10,2026-09-28,done
P10-T11,P10,Juniper Reporting: delivery item 11,Demo Workstream Owner 10,2026-09-28,done
P10-T12,P10,Juniper Reporting: delivery item 12,Demo Workstream Owner 10,2026-09-28,done
